business_name,entity_type,address,city,state,zip
'S LAW JUSTICE FOR ALL INC,IDOMP,4191 DAIRY CT                             A                                         PORT ORANGE,BR32127     US4191 DAIRY CT,,A
"-ASSOCIATED ACCIDENT ATTORNEYS FOR GERALD SCHACKOW, P.A.",IDOMP,C/O GERALD D. SCHACKOW                    112 NW 33RD CT                            GAINESVILLE,FL32607       C/O GERALD D. SCHACKOW,,112 NW 33RD
"-COUNTY LITIGATION GROUP, P.A.",IDOMP,2295 N.W. CORPORATE BOULEVARD             SUITE 245B                                BOCA RATON,FL33431     US2295 N.W. CORPORATE BOUL,EVARD,SUITE 245B
"-COUNTY LITIGATION, P.A.",IDOMP,2295 N.W. CORPORATE BOULEVARD             SUITE 140                                 BOCA RATON,FL33431       2295 N.W. CORPORATE BOUL,EVARD,SUITE 140
"-LEGAL ACCIDENT NEGOTIATORS, INC.",IDOMP,2110 N.E. 206TH ST.                                                                 N. MIAMI BEACH,FL33179       2110 N.E. 206TH ST.,,
"-PAID LEGAL INEXPENSIVE JUSTICE, INC.",IDOMP,"2440 DEER CREEK CC BLVD., #102                                                      DEERFIELD BEACH",FL33442       2440 DEER CREEK CC BLVD.,", #102",
"A INJURY LAW, P.A.",ADOMP,"28059 US Hwy 19 N, Suite 300                                                        CLEARWATER","FL33761     US28059 US Hwy 19 N, Suite",300,
"A INJURY LAW, P.A.",ADOMP,121 ALHAMBRA PLAZA #1000                                                            CORAL GABLES,FL33134     US121 ALHAMBRA PLAZA #1000,,
"A LITIGATION & LEGAL CONSULTING, P.A.",IDOMP,4960 SW 72 AVENUE                         206                                       MIAMI,FL33155       4960 SW 72 AVENUE,,206
A LITIGATION AND LEGALCONSULTING P.A.,IDOMP,4960 SW 72 AVENUE                         206                                       MIAMI,FL33155       4960 SW 72 AVENUE,,206
"A WILLIS LAW INJURY ACCIDENT LAWYERS, P.A.",ADOMP,390 N. ORANGE AVENUE                      SUITE 2310                                ORLANDO,FL32801       po box 771031,,
ABILITY AND INJURY PLLC,AFLAL,4332 ELLINWOOD BLVD                                                                 PALM HARBOR,FL34685     US4332 ELLINWOOD BLVD,,
"ABOGADOS DE ACCIDENTES - MIAMI INJURY LAWYERS, P.A.",IDOMP,2915 BISCAYNE BLVD                        SUITE 200-44                              MIAMI,FL33137     US2915 BISCAYNE BLVD,,SUITE 200-44
"ABOT AACHEN AMERICAN ACCIDENT ATTORNEYS REFERRAL SERVICE, INC.",IDOMP,2730 SW 3RD AVE                                                                     MIAMI,FL33133       2730 SW 3RD AVE,,
"ACADEMY OF FLORIDA TRIAL LAWYERS, INC.",ADOMNP,218 S. MONROE STREET                                                                TALLAHASSEE,FL32301-1824US218 S. MONROE STREET,,
"ACCIDENT & INJURY LAWYER, P.A.",IDOMP,8004 N.W. 154TH STREET                    NO. 372                                   MIAMI LAKES,FL33016       8004 N.W. 154TH STREET,,NO. 372
"ACCIDENT & PERSONAL INJURY LAW GROUP, P.L.",AFLAL,129 N Federal Hwy                                                                   Lake Worth,FL33460     US129 N Federal Hwy,,
"ACCIDENT ATTORNEYS, P.A.",IDOMP,1506 NE 162 ST STE 300                                                              N MIAMI BEACH,FL33162       1506 NE 162 ST STE 300,,
"ACCIDENT CARE CLINIC, PLLC",IFLAL,303 Main Street                                                                     Safety Harbor,FL34695     US303 Main Street,,
"ACCIDENT CENTER, P.A.",IDOMP,2888 EAST OAKLAND PARK BLVD.                                                        FT. LAUDERDALE,FL33306       2888 EAST OAKLAND PARK B,LVD.,
ACCIDENT LAW GROUP LLC,IFLAL,8567 CORAL WAY                                                                      MIAMI,FL33155     UN24453 SW 110TH PL,,
"ACCIDENT LAW GROUP, P.A.",ADOMP,"2655 S. LE JEUNE RD., PH2 A-10                                                      CORAL GABLES","FL33134     US2655 S. LE JEUNE RD., PH",2 A-10,
